,0,1,2,3,4,5,6,7,8,9,10,11
c8,1.064998514169152,-0.20205314568387783,0.08098436286886618,0.10083632964034989,-0.007987730474850527,-0.08192758957899175,0.029501316393212795,-0.03437783594592462,-0.002484121578837747,0.008257700708341132,-0.009154471326500714,0.00536860350920605
c17,3.6538331894732496,0.8812334883554678,-0.06473392533993695,-0.05333588121835578,0.010912360185597367,0.01044152092969041,0.007167717510458236,-0.0014214438420688744,0.001040837783446181,-0.0042439647167669785,-0.00276707009163005,0.0007467770780592373
c4,-0.6231761046178054,-0.14647043308735844,-0.19324291197109772,-0.030792760634822343,-0.015747978114201096,-0.01877918932140198,0.026127861142714672,0.01661601654011885,-0.0071415741637311,-0.003885890781567808,-0.007217067066556934,0.004676009951368181
c15,-0.8174766766921006,0.05225872176696762,-0.09835577308729647,-0.008089741949132305,-0.01800560629373821,-0.039854309469464694,-0.022551463889033254,-0.009880117789297567,-0.002569325899564228,-0.005396847760328237,0.007310343425730161,-0.006529461562784326
c16,-0.0060232749323396294,0.10104392753676135,-0.16034038603362816,-0.02086813298424835,-0.011997702260508359,-0.04098117136567289,-0.02677275973713068,0.0006577392568026519,-0.011982876661712322,0.026373397195788503,0.010856129034888879,-0.0019518546997717356
c13,-0.6631803996535814,-0.08574268165909418,-0.07906842808336766,-0.036077212957512164,0.021915657723820037,-0.019075869327598475,-0.012820675514299983,-0.004145633513040299,0.007730414638097394,-0.0106867795126635,-0.004881323979833433,-0.0076287208317528535
c12,1.042305242309376,-0.24315604136142954,-0.06422604801919762,0.10784336291587003,0.05312603696752982,0.026766831305997135,-0.004803621260909745,0.005466990824414338,-0.00862447581752201,-0.009437066006733035,0.001324382094177562,-0.0006719624522575811
c10,0.8114561459320978,-0.22434908772770948,0.06366249598426911,-0.0017870177744890227,-0.027610440486817555,-0.012705038862076716,0.038467129659190545,-0.013394492969494786,0.018482013447340236,0.00025396083284410614,0.015923727279196994,-0.008933899488250897
c6,-1.423304821264001,0.2367579587636251,-0.06343247297917692,0.056568576980606446,-0.10341076062351659,-0.008443142488770098,-0.0013651659931623416,0.005991620299673068,0.01108726926755423,-0.005383884284742133,-0.010304368629704908,0.0039533912960727025
c11,0.13412678022513821,-0.25316241639605036,-0.05563324783975347,-0.052253628411194755,0.05352648434694126,0.06038265447039338,-0.0026154603692325517,0.009165092878936581,0.023978427969118966,0.019358691794026345,-0.010283176612594388,0.004735159289990849
c18,-1.7220926525432545,0.4056709285870055,0.18596473409093975,0.052849207051894706,0.042097749642395675,0.02318233075430147,-0.02004452675348974,-0.015017832499310421,0.004614941200691462,-0.0010835354574411226,0.009457150436936821,0.015763243821626978
c7,-0.9185931793609488,0.03638318588005115,0.023616368314786283,-0.06365793712983295,0.03316725721720693,-0.020518915089835298,-0.02337894142288734,-0.015694476215799936,0.013972686770765312,-0.007534886247943906,-0.0016843193498293175,-0.006601903735532717
c1,0.7729030742266717,-0.25799670761616494,0.2516209616610019,-0.10974031947064941,-0.09014114793912983,-0.0023665978834399165,-0.02758258964718549,-0.008157210229384216,-0.014512064521140872,0.0002728401524935332,-0.009996124576152378,-0.000519938684060136
c19,-1.8051101577491655,0.42915633462791436,0.14240313168794697,0.07666280234236394,-0.033206334427741326,0.051599935841849444,0.024145150930423714,0.016295896053712525,-0.007689146334902426,0.009286952383413302,-0.00436250080903539,-0.014487019224440682
c5,-0.8561315685007782,-0.02333797794190424,-0.16054969357490495,0.000953336793793467,-0.041137473954845113,-0.030345973399074543,0.007527689288071679,0.009433445289573567,-0.003644850960155874,-0.0048372849666178,0.004350734093289766,0.008081466394508208
c14,-1.3398076398847847,0.009828674228515449,0.07669561279315212,-0.10633553017196419,0.14402021015429747,-0.01407221835425987,0.03304142701809208,0.0017803163382470722,-0.014950622053267967,-0.002375648999887917,-0.0006545516461962719,0.0010309643031727847
c3,1.2539193340006674,-0.20161125592645046,0.20017988379755283,0.006653571499394987,-0.012619627806847025,-0.046412229804712365,-0.00598960793050045,0.051277162895986154,0.005789362130865524,-0.0030582483701003674,0.007923706961112933,0.003581374493553381
c9,1.0978364705316053,-0.23101158463753124,-0.03087573480697682,0.1223205127409138,0.07479993261645748,0.036580863992599466,-0.030345171341836705,0.000566841979711125,-0.0051569265131605506,-0.0018331855240199763,-0.00443917006071286,-0.004834902727628951
c2,0.3435177243308031,-0.28344188770873835,-0.05466892946317833,-0.04174953726298823,-0.07170088647204982,0.12652810765046704,0.01229169191750367,-0.015162079352854475,-0.007939968703884942,-0.004046320438094737,0.008597970823412428,0.004222673268921573
